user_id,signup_date,device_type,channel,step_1_landing,step_2_account_created,step_3_email_verified,step_4_first_use,step_5_engaged_return
1,2023-01-01 00:00:00,Mobile,Organic,1,1,1,0,0
2,2023-01-01 01:00:00,Tablet,Organic,1,1,0,0,0
3,2023-01-01 02:00:00,Desktop,Referral,1,1,1,1,1
4,2023-01-01 03:00:00,Mobile,Organic,1,1,1,0,0
5,2023-01-01 04:00:00,Mobile,Referral,1,1,1,1,1
6,2023-01-01 05:00:00,Mobile,Organic,1,0,0,0,0
7,2023-01-01 06:00:00,Mobile,Paid,1,1,1,0,0
8,2023-01-01 07:00:00,Desktop,Referral,1,1,1,1,0
9,2023-01-01 08:00:00,Desktop,Organic,1,1,1,0,0
10,2023-01-01 09:00:00,Desktop,Organic,1,1,1,1,0
11,2023-01-01 10:00:00,Mobile,Organic,1,0,0,0,0
12,2023-01-01 11:00:00,Tablet,Paid,1,1,1,1,1
13,2023-01-01 12:00:00,Desktop,Paid,1,0,0,0,0
14,2023-01-01 13:00:00,Mobile,Paid,1,1,1,1,0
15,2023-01-01 14:00:00,Mobile,Organic,1,1,0,0,0
16,2023-01-01 15:00:00,Mobile,Organic,1,1,0,0,0
17,2023-01-01 16:00:00,Mobile,Organic,1,1,1,0,0
18,2023-01-01 17:00:00,Mobile,Organic,1,1,0,0,0
19,2023-01-01 18:00:00,Mobile,Paid,1,1,1,1,1
20,2023-01-01 19:00:00,Mobile,Referral,1,1,1,1,1
21,2023-01-01 20:00:00,Desktop,Paid,1,1,1,1,0
22,2023-01-01 21:00:00,Mobile,Organic,1,1,0,0,0
23,2023-01-01 22:00:00,Mobile,Referral,1,0,0,0,0
24,2023-01-01 23:00:00,Mobile,Paid,1,1,0,0,0
25,2023-01-02 00:00:00,Mobile,Referral,1,1,1,1,0
26,2023-01-02 01:00:00,Desktop,Paid,1,1,0,0,0
27,2023-01-02 02:00:00,Mobile,Organic,1,0,0,0,0
28,2023-01-02 03:00:00,Mobile,Organic,1,0,0,0,0
29,2023-01-02 04:00:00,Mobile,Paid,1,1,1,1,0
